era,name,stash_address,controller_address,commission_percent,self_stake,total_stake,num_stakers,era_points
1827,,HYxzaXwkydDNAy3R8UnCvfprNm74TwwSELpyXSRoqmy9AQY,FtNPvNSJeZTb7gGb2bbbiqpWJqy5suSRK97Q5Dfk4paD2nP,10.00,100000000000,6937245037003128,1,20
1827,,JCghFN7mD4ETKzMbvSVmMMPwWutJGk6Bm1yKWk8Z9KhPGeZ,D3Uxe1nG7EacqWEcnQ5thoMMyzorgu4kKpJWy6pNxG6f8A2,10.00,428192307900,6948961276496453,2,60
1827,,HmsTAS1bCtZc9FSq9nqJzZCEkhhSygtXj9TDxNgEWTHnpyQ,HmsTAS1bCtZc9FSq9nqJzZCEkhhSygtXj9TDxNgEWTHnpyQ,100.00,10000000000000,4318415350576028,1,100
1827,🐠 stakefish / SF-09,Efishjj6mrTWVjwFoxtMmHH3mX6tRNnPKsSfQeCLZSv3jAE,DVfishsoHZoLSdgKRqC9JtyJUxR8BfHULdyZJBaJoRNsh93,4.00,3020092191112,4870471228789499,15,60
1827,RYABINA /  [41] T.ME/KUSAMA_BOT 🐦,Hn8ELsyUL9UgDZpPX6bE464o4sbi7gqgYEKjntK7xuVzGXH,Hn8ELsyUL9UgDZpPX6bE464o4sbi7gqgYEKjntK7xuVzGXH,3.00,200196344533,5892451834533084,2,120
1827,P2P.ORG / 8,GXTJJh2kQJoS9amET2WmZ82uFkm7HYCScoP9bEDV5JyKsWE,Db24pRro35aR3VTdepCZvn5bHG8CYT2Hgo5bTEEq9ueeaNm,5.00,5469144579106,5220262797413707,4,80
1827,ALFASTAKE / Zenit,Gf7EHcqRZiXCELr2xYjQXrxAzVcEFh5pEjvQdedKS2avGAj,HBseyA5Ykh5huB1b8ghd5TTHCQTDTN69v8YGZsgqrh1nK2L,1.00,100100000000000,4851996374013246,25,40
1827,Zug Capital / 97,CzugcaQzrsHE5dNetf9hTW7j9gCxAuaPHBZDgTkn9opE2zb,FHVFAUnC4yvNWyWU9YtfNPqs8EYD68AnUp4zepMP6wjHXsM,2.50,10000000000000,4890319294210984,10,120
1827,Zug Capital / 24,Czugca1gnvJSCfxfv2Wcay2eMZW66VvWdP84SWjrq7CM41D,DYqrBeY5Zm58aRdJoK21BvwhnQcM5RMm5yrjCY1rkSFngUt,2.50,10000000000000,5472313853906262,3,140
1827,dolphintwo,EAJ5LQyAP2kyn4erJLRdNgenZax86Rk71Xqd8GBQHsYbfe9,DcmJwMTb5qC4bQjmr2Dst79R7ghUMth1dV22rd3YLnsWwpx,10.00,53551947653808,5809405730632486,1,80
1827,Staker Space / 3️⃣,Dm64aaAUyy5dvYCSmyzz3njGrWrVaki9F6BvUDSYjDDoqR2,F2EqnJ9dohFPigYwYug8NFgAzfQUHmn6m7xgErh3LXZ2e4Z,4.00,53378950355296,7424431365095511,1,100
1827,Web3 VC,FSUwnu7Ehf7sKByaXvSTYoAfuTxybwqhubeGfQkho94syqo,FSUwnu7Ehf7sKByaXvSTYoAfuTxybwqhubeGfQkho94syqo,5.00,30729534176987,4906752049118622,17,0
1827,Sio34,GCzeGccTUJaJSsUHWKaPb5AKiHP8oxm6jJsxDjMbEtNGf2H,Ez2agAdfnktu7ehUERJyC9mm74XHaB7Q4948T8f88kYaENZ,3.00,50000000000000,4860701201812775,5,40
1827,Jaco / v30,EPekLH9Q6agCPM54EBmbHA34k7eesr6N4bRjMDWwFK8wDPR,EPekLH9Q6agCPM54EBmbHA34k7eesr6N4bRjMDWwFK8wDPR,3.00,1000000000000,4856670631885738,13,60
1827,P2P.ORG / 37,EDEVriQd4TpEHHyWnLbQHDYjY9avxxkWhNmBou4SHKixgt1,CzTyjku8Fh1dnJArjRnTod3WTDjR7XFFU33iGKzY1z6FAFX,5.00,5476349352179,5405972081279507,2,60
1827,theguild,Gnn9xyFiZYXtKeMfZSSWSdSvxv9go1KCq2kgfyyGcAoZ3pL,Cwzj77ZjLd6fmzy71Jf6kaLkRYdehpnkvtQ2ya4twUwcWnG,10.00,51000000000000,6961702379240354,1,20
1827,,CamaqNeoBA6w3hdZoX5kZzA1B3u2TSWgYQvWoM7ULtbPFD1,Da6eCJZWTuCCEeTJoAbmcMHdeCiWADXT7p6NkKbsjs6tBYo,5.00,1000000000000,4649927741219728,11,60
1827,,E4StaSGGGk17tCTyc6y1tg9MxK84RGbtL9C8JZa5JcUshCH,E4StaSGGGk17tCTyc6y1tg9MxK84RGbtL9C8JZa5JcUshCH,100.00,10000000000000,4081366445410849,1,100
1827,,G7CPgezmME8qTec8Wa51zwFSeEAYHwfQMWg4Z4rphKwZiNp,G7CPgezmME8qTec8Wa51zwFSeEAYHwfQMWg4Z4rphKwZiNp,100.00,10000000000,4937585341420615,1,60
1827,,J4k6FjgFHp74AAegorN3hKZw4udLhNkMSpjHtw8WtW7roCT,J4k6FjgFHp74AAegorN3hKZw4udLhNkMSpjHtw8WtW7roCT,100.00,10000000000,3444612121004044,1,40
1827,Jaco / v15,Hn7bkgbitsSeuUuMJghpQ5hd9YuzGydDZuTxFF5otrHqyFS,Hn7bkgbitsSeuUuMJghpQ5hd9YuzGydDZuTxFF5otrHqyFS,3.00,1000000000000,4857353352848488,11,40
1827,,J6gruM5ek4y9pHQkvTvCMigpBKjEscsTLToUc1Ff1mMhNSf,J6gruM5ek4y9pHQkvTvCMigpBKjEscsTLToUc1Ff1mMhNSf,100.00,10000000000,3523135047684443,1,40
1827,,CfPpSTas5hxEz2BGpB5W6LJpXrmyMRdz168FyTEK8wmyq8V,CfPpSTas5hxEz2BGpB5W6LJpXrmyMRdz168FyTEK8wmyq8V,100.00,10000000000000,4081366445410849,1,160
1827,,HEdVmh9oFNgucxUxtH2E3XmSy2Av73rw1vFapsjajHyu3e4,F9NJJ1wb7oxCegwFszn1WVj5pAweSQx9E7g1jNZbWCpJUNQ,5.00,1000000000000,4649725498511434,8,120
1827,,HRozvm2qsgwXKLZXJvTCVkHcZcwcpK6SpzZjDmH6xdMujde,HRozvm2qsgwXKLZXJvTCVkHcZcwcpK6SpzZjDmH6xdMujde,100.00,10000000000,7500124442664225,1,20
